日,"び,じつ,ひ,か,にち"
工,"こう,く,ぐ"
建,"た,こん,けん,たつ,たてる,たて,だ"
空,"あける,あく,あき,むな,むなしさ,そら,あ,す,むなしい,くう,から"
急,"いそ,いそぐ,いそぎ,きゅう"
止,"とめる,と,し,やむ,ど,とど,さ,やめる,よ,とまる,や"
送,"おく,おくる,そう"
切,"ぎ,きれる,きり,き,さい,せつ,きる"
転,"うつ,くる,うたた,てん,ころぶ,まろ,ころ,ころがす,ころげる,ころがる"
研,"と,とぐ,けん"
足,"そく,た,たる,たす,たりる,あし"
究,"きわ,きわめる,きゅう,く"
楽,"ごう,らく,がく,たのしい,たの,たのしむ,この,たのしみ"
起,"た,おこ,お,き,おこす,おきる"
着,"ぎ,つ,き,ちゃく,じゃく,きせる,つく,きる"
店,"みせ,たな,てん"
病,"やみ,びょう,やむ,やまい,や,へい"
質,"もと,ち,わりふ,しつ,ただ,たち,しち"
待,"まつ,またせる,ま,たい"
試,"こころみ,し,ためす,こころみる,ためし,ため,こころ"
族,ぞく
銀,"しろがね,ぎん"
早,"そう,はやい,はやく,はや,さ,はやまる,さッ,はやめる"
映,"うつ,うつす,えい,ば,はえる,は,うつる"
親,"おや,した,したしい,しん"
験,"げん,けん,しるし,ためし,ため,あかし"
英,"はなぶさ,えい"
医,"い,くすし"
仕,"つか,つかえる,し,じ"
去,"さ,さる,きょ,こ"
味,"あじ,あじわう,あじわい,み"
写,"うつ,うつす,しゃ,うつる,じゃ"
字,"あざ,あざな,な,じ"
答,"こた,こたえ,こたえる,とう"
夜,"よ,よる,や"
音,"のん,ね,いん,おと,おん"
注,"つ,ちゅう,さ,そそ,そそぐ"
帰,"かえ,き,かえる,おく,とつ"
古,"ふる,ふるい,こ"
歌,"うた,うたう,か"
買,"か,かう,ばい"
悪,"にく,わるい,あしき,お,あく,ああ,わる,あ,いずくに,いずくんぞ,わるさ,あし"
図,"と,ず,はかる,え,はか"
週,しゅう
室,"むろ,しつ"
歩,"ほ,あるく,あゆみ,あゆむ,あゆ,ふ,ある,ぶ"
風,"かぜ,かざ,ふう,ふ"
紙,"かみ,し"
黒,"くろい,くろ,こく"
花,"はな,か,け"
春,"はる,しゅん"
赤,"せき,あからむ,あからめる,あかい,しゃく,あか"
青,"あお,あおい,せい,しょう"
館,"たて,やかた,かん"
屋,"や,おく"
色,"いろ,しょく,しき"
走,"はし,はしる,はしり,そう"
秋,"あき,とき,しゅう"
夏,"なつ,か,げ,が"
習,"ならう,なら,じゅ,ならい,しゅう"
駅,えき
洋,よう
旅,"たび,りょ"
服,ふく
夕,"ゆう,せき"
借,"か,かりる,しゃく"
曜,よう
飲,"の,のむ,いん,おん"
肉,"しし,にく"
貸,"か,かす,かし,たい"
堂,どう
鳥,"とり,ちょう"
飯,"めし,はん"
勉,"つと,べん"
冬,"ふゆ,とう"
昼,"ひる,ちゅう"
茶,"ちゃ,さ"
弟,"おとうと,てい,だい,で"
牛,"うし,ぎゅう"
魚,"うお,さかな,ざかな,ぎょ"
兄,"あに,けい,きょう"
犬,"いぬ,けん"
妹,"いもうと,まい"
姉,"あね,はは,し"
漢,かん
政,"まつりごと,まん,せい,しょう"
議,ぎ
民,"たみ,みん"
連,"つれる,つ,れん,つれ,づ,つら,つらなる,つらねる"
対,"むか,なら,こた,つれあ,そろ,たい,つい,あいて"
部,"べ,ぶ"
合,"かッ,ごう,あい,あ,が,あう,あわせる,がッ,あわす,か"
市,"いち,し"
内,"うち,ない,だい"
相,"あい,そう,しょう"
定,"さだ,さだか,さだめる,てい,じょう,さだまる"
回,"まわす,まわる,まわ,かい,え,もとお,か"
選,"えら,えらぶ,せん"
米,"こめ,まい,よね,べい,めえとる"
実,"み,まこと,みち,みの,しつ,みのる,じつ,みのり,まことに"
関,"かかわる,せき,かか,かん,からくり,かんぬき,ぜき"
決,"ぎ,きまる,き,きめる,さ,けつ"
全,"まった,まったく,ぜん,すべ,すべて"
表,"あら,あらわす,あらわれる,おもて,ひょう,あらわ"
戦,"たたかわす,たたか,いくさ,わなな,おのの,たたかう,せん,そよ"
経,"た,のり,たていと,へ,たつ,へる,けい,はか,きょう"
最,"もっと,つま,さい,しゅ,もっとも"
現,"うつ,うつつ,あらわす,あらわれる,げん,あらわ"
調,"ちょう,ととの,しら,ととのえる,ととのう,しらべる"
化,"ばける,ば,け,ばかす,ふ,か"
当,"あてる,とう,あたり,あ,あたる,まさ"
約,"つづ,つづま,やく"
首,"くび,しゅ"
法,"のり,はッ,ほう,はつ,ほッ,ほつ,ふらん"
性,"さが,せい,しょう"
要,"い,かなめ,いる,よう"
制,せい
治,"じ,なおる,ち,おさまる,おさ,おさめる,なお,なおす"
務,"つと,つとめる,つとまる,む"
成,"な,なる,せい,じょう,なす"
期,"き,ご"
取,"と,ど,とり,しゅ,とる"
都,"みやこ,と,つ"
和,"なご,なごむ,お,やわ,やわらぐ,なごやか,やわらげる,わ,か"
機,"はた,き"
平,"びょう,ひらたい,ひら,たいら,たい,ひょう,だいら,へい"
加,"くわ,くわえる,くわわる,か"
受,"う,うける,うかる,じゅ"
続,"しょく,つぐ,つづく,つづける,つづ,ぞく,つづき,こう,きょう"
進,"すす,すすむ,すすめる,しん"
数,"そく,せ,かず,すう,わずらわ,かぞえる,しばしば,かぞ,さく,す,しゅ"
記,"しる,しるす,き"
初,"うい,はじめて,しょ,ぞ,そめる,はじ,はつ,そ,はじめ"
指,"ゆび,さ,さす,し"
権,"ごん,けん,おもり,かり,はか"
支,"し,ささ,つか,ささえる,か"
産,"うまれる,う,さん,む,うぶ,うむ"
点,"た,つ,ぼち,てん,とぼ,さ,とも"
報,"むくい,むくいる,ほう,むく,むくう"
済,"な,すみ,さい,すく,せい,ず,わた,すます,わたし,すむ,す,ずみ,すませる"
活,"い,かつ"
原,"はら,げん"
共,"とも,ども,きょう"
得,"える,う,うる,とく,え"
解,"と,かい,わか,ほど,とく,さと,げ,とける,とかす"
交,"まざる,まじえる,こもごも,ま,かわす,まぜる,まじわる,かわ,まじ,まじる,か,かう,こう"
資,し
予,"あらかじ,よ,しゃ"
向,"むける,むか,むこう,むく,むき,むかう,む,むこ,こう"
際,"きわ,ぎわ,さい"
勝,"かつ,しょう,かち,すぐ,が,まさる,か,まさ"
面,"おもて,めん,べん,つら,おも"
告,"つ,つぐ,つげる,こく"
反,"そらす,はん,かえ,ほ,ほん,そ,たん,そる"
判,"わか,はん,ばん"
認,"みと,みとめる,したた,にん"
参,"みつ,まいる,まい,まじわる,さん,しん"
利,"き,きく,きき,り"
組,"ぐみ,くみ,くむ,そ,く"
信,しん
在,"あ,ある,ざい"
件,"くだん,けん"
側,"かわ,がわ,そば,そく"
任,"まか,まかせる,まかす,にん"
引,"ひ,ひく,び,いん"
求,"もと,もとめる,きゅう,ぐ"
所,"ところ,どころ,とこ,しょ"
次,"じ,つぐ,つ,し,つぎ"
昨,さく
論,ろん
官,かん
増,"ぞう,ふやす,ま,ます,ふ,ふえる,まし"
係,"かかわる,かかる,かかわり,かか,かかり,がかり,けい"
感,かん
