日,"び,じつ,ひ,か,にち"
林,"はやし,りん"
装,"よそお,よそおう,そう,しょう"
諸,"もろ,しょ"
劇,げき
河,"かわ,か"
航,こう
鉄,"くろがね,てつ"
児,"じ,こ,っこ,げい,に"
禁,きん
印,"しるし,じるし,しる,いん"
逆,"さかさ,ぎゃく,さからう,げき,さか"
換,"かえる,かわる,か,かん"
久,"ひさ,ひさしぶり,きゅう,ひさしい,く"
短,"みじか,みじかい,たん"
油,"あぶら,ゆ,ゆう"
暴,"ばく,あばれる,あば,あばく,ぼう"
輪,"わ,りん"
占,"うらな,うらなう,し,しめる,せん"
植,"う,うえる,うわる,しょく"
清,"せい,しょう,きよ,きよまる,きよい,しん,きよめる"
倍,ばい
均,"なら,きん"
億,おく
圧,"あつ,お,へ,えん,おさ,おう"
芸,"のり,げい,わざ,う,うん"
署,しょ
伸,"の,のびる,のばす,しん"
停,"と,てい"
爆,"は,ばく"
陸,"おか,りく,ろく"
玉,"たま,だま,ぎょく"
波,"なみ,は"
帯,"お,おびる,おび,たい"
延,"の,のばす,のべる,えん,のびる,のべ"
羽,"は,わ,はね,う"
固,"こ,かたい,かたまり,かたまる,かた,かためる"
則,"のっと,そく"
乱,"みだす,みだれる,みだ,ろん,みだれ,わた,らん,おさ"
普,"あまね,あまねし,ふ"
測,"はか,はかる,そく"
豊,"ほう,ゆたか,ゆた,とよ,ぶ"
厚,"あつ,あつい,あか,こう"
齢,"よわい,とし,れい"
囲,"かこ,い,かこう,かこい,かこむ"
卒,"お,ついに,そっ,しゅつ,そつ,にわか"
略,"ほぼ,りゃく,はかりごと,はぶ,おさ,おか,はか"
承,"こ,うけたまわる,たす,ささ,すく,とど,しょう,う,じょう,うけたまわ,つい"
順,じゅん
岩,"いわ,がん"
練,"ね,ねる,ねり,れん"
軽,"かろ,かろやかな,かる,かるい,けい"
了,りょう
庁,"やくしょ,ちょう,てい"
城,"しろ,じょう"
患,"わずら,わずらう,かん"
層,そう
版,はん
令,れい
角,"かど,つの,かく"
絡,"からむ,らく,からめる,からまる,から"
損,"そん,そこ,そこなう,そこねる,そこな"
募,"つのる,つの,ぼ"
裏,"うら,り"
仏,"ほとけ,ぶつ,ふつ"
績,せき
築,"きず,きずく,ちく"
貨,"たから,か"
混,"まざる,こ,こん,ま,まじり,まぜる,まじる"
昇,"のぼ,のぼる,しょう"
池,"いけ,ち"
血,"ち,けつ"
温,"あたた,あたたかい,あたたまる,あたたか,あたためる,ぬく,おん"
季,き
星,"ほし,ぼし,せい,しょう"
永,"なが,ながい,えい"
著,"いちじる,あらわす,ちゃく,ちょ,あらわ,いちじるしい"
誌,し
庫,"くら,こ,く"
刊,かん
像,ぞう
香,"かおり,かお,かおる,か,こう,きょう"
坂,"さか,はん"
底,"そこ,てい"
布,"ぬの,ふ"
寺,"てら,じ"
宇,う
巨,きょ
震,"ふる,ふるえる,ふるえ,しん"
希,"まれ,き,け"
触,"しょく,ふれる,さわ,ふ,さわる"
依,"よ,い,え"
籍,せき
汚,"けがれる,けがす,お,よごれる,よごす,よご,けがらわしい,きたな,けが,きたない"
枚,"まい,ばい"
複,ふく
郵,ゆう
仲,"なか,ちゅう"
栄,"さかえる,えい,ば,はえる,は,え,よう,さか"
札,"ふだ,さつ"
板,"いた,はん,ばん"
骨,"ほね,こつ"
傾,"かしげる,かたぶ,かたむ,かたむく,かたむける,かし,かた,けい"
届,"とど,とどく,とどける,かい"
巻,"まき,かん,ま,まく,けん"
燃,"もえる,も,もやす,もす,ねん"
跡,"あと,せき"
包,"つつむ,くる,ほう,つつみ,つつ"
駐,ちゅう
弱,"よわめる,よわい,よわまる,じゃく,よわ,よわる"
紹,しょう
雇,"やと,やとう,こ"
替,"か,かわる,かえる,たい"
預,"あず,あずける,あずかる,よ"
焼,"やく,しょう,やける,や,やき"
簡,かん
章,しょう
臓,"はらわた,ぞう"
律,"りつ,りち,れつ"
贈,"おく,おくる,ぞう,そう"
照,"てれる,しょう,て,てる,てらす"
薄,"すすき,うすめる,はす,うすい,うすまる,うす,うすらぐ,うすれる,はく"
群,"ぐん,むらがる,むれ,むれる,む,むら"
秒,びょう
奥,"おく,くま,おう"
詰,"つ,つめる,つまる,づ,きつ,つむ,きち"
双,"そう,ふたつ,ふた,ならぶ,たぐい"
刺,"ささる,さし,し,とげ,さ,さす"
純,じゅん
翌,よく
快,"こころよ,こころよい,こころよさ,かい"
片,"かた,へん"
敬,"うやまう,うやまい,うやま,けい,きょう"
悩,"なやます,なやむ,なやみ,のう,なや"
泉,"いずみ,せん"
皮,"かわ,ひ"
漁,"あさ,ぎょ,りょう"
荒,"あらす,あれる,あら,あ,すさ,こう,あらい"
貯,"た,たくわ,ちょ"
硬,"かた,かたい,こう"
埋,"い,うもれる,うず,うまる,まい,う,うめる"
柱,"はしら,ちゅう"
祭,"まつる,まつり,まつ,さい"
袋,"ふくろ,たい,だい"
筆,"ふで,ひつ"
訓,"おし,よ,くん,きん"
浴,"あ,あびる,あびせる,よく"
童,"わらべ,どう"
宝,"たから,ほう"
封,"ふう,ほう"
胸,"むね,むな,きょう"
砂,"すな,さ,しゃ"
塩,"しお,えん"
賢,"かしこ,かしこい,けん"
腕,"うで,わん"
兆,"きざ,きざす,きざし,ちょう"
床,"とこ,ゆか,しょう"
毛,"け,もう"
緑,"みどり,りょく,ろく"
尊,"たっとぶ,とうとい,そん,とうとぶ,とうと,たっとい,たっと"
祝,"しゅく,いわ,いわう,しゅう,いわい"
柔,"にゅう,やわ,じゅう,やわらかい,やわな"
殿,"との,どの,でん,てん"
濃,"こ,こい,こさ,のう"
液,えき
衣,"ぎ,い,ころも,きぬ,え"
肩,"かた,けん"
零,"ぜろ,こぼ,れい"
幼,"おさない,おさな,よう"
荷,"に,か"
泊,"とまる,とめる,と,はく"
黄,"き,こ,こう,おう"
甘,"うま,あま,かん,あまえ,あまえる,あまさ,あまい,あまやかす"
臣,"しん,じん"
浅,"あさ,あさい,せん"
掃,"は,はく,そう,しゅ"
雲,"くも,ぐも,うん"
掘,"ほ,ほる,くつ"
捨,"す,すてる,しゃ"
軟,"やわ,やわらかい,なん"
沈,"じん,しずめる,ちん,しずむ,しず"
凍,"こ,こおる,い,し,とう,こお,こご,こごえる"
乳,"ちち,ち,にゅう"
恋,"こ,れん,こいしい,こい,こいする,こう"
紅,"くれない,べに,あか,く,こう"
郊,こう
腰,"こし,よう"
炭,"すみ,たん"
踊,"おど,おどる,おどり,よう"
冊,"ふみ,さつ,さく"
勇,"いさ,いさむ,いさましい,ゆう"
械,"かせ,かい"
菜,"な,さい"
珍,"めずら,めずらしい,たから,ちん"
卵,"たまご,らん"
湖,"みずうみ,こ"
喫,"の,きつ"
干,"ほ,かん,ほし,ひ,ひる,ほす,ぼ"
虫,"むし,ちゅう,き"
刷,"する,さつ,ず,ずり,す,は"
湯,"ゆ,とう"
溶,"と,とく,よう,とける,とかす"
鉱,"あらがね,こう"
涙,"なみだ,るい,れい"
匹,"ひき,ひつ"
孫,"まご,そん"
鋭,"するど,するどい,えい"
枝,"えだ,し"
塗,"まみ,ぬる,と,ぬり,ぬ"
軒,"のき,けん"
毒,どく
叫,"さけ,さけぶ,きょう"
拝,"おが,おがむ,おろが,はい"
氷,"こおり,ひ,こお,ひょう"
乾,"いぬい,ほ,かん,けん,かわき,かわ,ひ,かわかす,かわく"
棒,ぼう
祈,"いの,いのる,いのり,き"
拾,"ひろ,ひろう,しゅう,じゅう"
粉,"こ,こな,でしめうとる,ふん"
糸,"いと,し"
綿,"わた,めん"
汗,"あせ,かん"
銅,"あかがね,どう"
湿,"しめ,しめる,しめす,しつ,うるお,しゅう"
瓶,"かめ,びん"
咲,"さ,さく,ざき,しょう"
召,"め,めす,しょう"
缶,"かま,かん"
隻,せき
脂,"あぶら,し"
蒸,"せい,むらす,むれる,む,じょう,むす"
肌,"はだ,き"
耕,"たがや,たがやす,こう"
鈍,"にぶい,なまく,にぶ,なま,どん,にぶる"
泥,"どろ,でい,ない,で,に"
隅,"すみ,ぐう"
灯,"ほ,とう,とも,あかり,ひ,ともしび"
辛,"づら,かのと,からい,つら,からさ,しん,から"
磨,"みが,みがく,す,ま"
麦,"むぎ,ばく"
姓,"せい,しょう"
筒,"つつ,とう"
鼻,"はな,び"
粒,"つぶ,りゅう"
詞,し
胃,い
畳,"ちょう,たたみ,たたむ,たた,じょう,かさ"
机,"つくえ,き"
膚,"はだ,ふ"
濯,"すす,ゆす,たく"
塔,とう
沸,"わ,わく,わかす,ふつ"
灰,"はい,かい"
菓,か
帽,"ずきん,おお,ぼう,もう"
枯,"か,かれる,からす,こ"
涼,"りょう,うす,すず,ひや,すずしい,すずむ,まことに"
舟,"ふね,ふな,ぶね,しゅう"
貝,"かい,ばい"
符,ふ
憎,"ぞう,にく,にくしみ,にくらしい,にくむ,にくい"
皿,"さら,べい"
肯,"がえんじ,こう"
燥,"はしゃ,そう"
畜,ちく
挟,"わきばさ,はさ,しょう,はさむ,はさまる,さしはさ,きょう"
曇,"くも,くもる,くもり,どん"
滴,"しずく,したた,したたる,てき"
伺,"うかがう,うかがい,うかが,し"
氏,"うじ,し"
統,"すべる,とう,ほび,す,すべて"
保,"たもつ,たも,ほ,ほう"
第,"だい,てい"
結,"むすぶ,ゆわえる,けち,ゆ,ゆう,むす,けつ"
派,は
案,"つくえ,あん"
策,さく
基,"もと,もとい,き"
価,"あたい,か,け"
提,"ちょう,さげる,てい,だい,さ"
挙,"こぞ,あ,あげる,あがる,きょ"
応,"こた,のう,おう,まさに,よう,あた"
企,"くわだ,くわだてる,たくら,き"
検,"しら,けん"
藤,"ふじ,とう,どう"
沢,"さわ,うるお,つや,たく"
裁,"た,さい,たつ,さばく,さば"
証,"あかし,しょう"
援,えん
施,"ほどこ,し,せ"
井,"い,せい,しょう"
護,"まも,まもる,ご"
展,てん
態,"わざ,たい"
鮮,"あざ,せん"
視,"み,し"
条,"ちょう,でき,じょう,えだ,すじ"
幹,"みき,かん"
独,"ひと,ひとり,どく,とく"
宮,"みや,きゅう,ぐう,くう,く"
率,"ひき,ひきいる,しゅつ,そつ,りつ"
衛,"えい,え"
張,"ちょう,はり,ば,は,はる"
監,かん
環,"わ,かん"
審,"つまび,つぶさ,しん"
義,ぎ
訴,"うった,そ"
株,"かぶ,しゅ"
姿,"すがた,し"
閣,かく
衆,"おお,しゅう,しゅ"
評,ひょう
影,"かげ,えい"
松,"まつ,しょう"
撃,"う,げき"
佐,さ
核,かく
整,"ととの,ととのえる,ととのう,せい"
融,"と,ゆう"
製,せい
票,ひょう
渉,"わた,しょう"
響,"ひびく,ひび,ひびかす,ひびき,きょう"
推,"お,おす,すい"
請,"こ,せい,しょう,う,しん"
器,"うつわ,き"
士,"さむらい,し"
討,"う,うつ,とう"
攻,"せめる,せ,こう"
崎,"さき,さい,みさき,き"
督,とく
授,"じゅ,さずける,さずかる,さず, さずける"
催,"もよう,もよお,さい"
及,"およ,および,きゅう"
憲,けん
離,"はなれる,はなす,はな,り"
激,"はげ,はげしい,げき"
摘,"つ,てき"
系,けい
批,ひ
郎,"おとこ,ろう,りょう"
健,"すこ,すこやかな,けん"
盟,めい
従,"したがう,じゅう,じゅ,したが,しょう,したがえる,より"
修,"おさまる,おさ,しゅ,おさめる,しゅう"
隊,たい
織,"しょく,お,おり,しき,おる"
拡,"ひろ,かく,こう"
故,"ゆえ,ふる,もと,こ"
振,"ふ,ぶ,しん"
弁,"わきま,へん,べん,はなびら,あらそ,わ"
就,"つ,つく,しゅう,じゅ"
異,"こと,ことなる,け,い"
献,"たてまつ,けん,こん"
厳,"きびしい,ごん,いか,げん,おごそ,おごそか,きび,いつくし"
維,い
浜,"はま,ひん"
遺,"のこ,い,ゆい"
塁,"とりで,るい,らい,すい"
邦,"くに,ほう"
素,"もと,そ,す"
遣,"つか,づか,や,けん"
抗,"あらが,こう"
模,"も,ぼ"
雄,"お,おす,おん,ゆう"
益,"ま,えき,やく"
緊,"し,きん"
標,"しるべ,しるし,ひょう"
宣,"のたま,せん"
昭,しょう
廃,"すた,はい"
伊,"かれ,い"
江,"え,こう"
僚,りょう
吉,"よし,きち,きつ"
盛,"せい,も,さかん,じょう,さかんな,もる,さか"
皇,"こう,おう"
臨,"のぞ,のぞむ,りん"
踏,"ふ,とう"
壊,"こわれる,こわ,かい,こわす,え,やぶ"
債,さい
興,"おこる,おこ,おこす,こう,きょう"
源,"みなもと,げん"
儀,ぎ
創,"そう,はじ,けず,しょう,つく,きず"
障,"さわ,さわる,しょう"
継,"つ,まま,けい"
筋,"すじ,きん"
闘,"たたか,あらそ,とう"
葬,"ほうむ,そう"
避,"さ,さける,よ,ひ"
司,"つかさど,し"
康,こう
善,"い,よい,よし,ぜん,よ"
逮,たい
迫,"せま,はく"
惑,"まど,わく"
崩,"くず,ほう"
紀,き
聴,"き,ゆる,ちょう,てい"
脱,"ぬ,ぬぐ,ぬげる,だつ"
級,きゅう
博,"はく,ばく"
締,"し,じ,てい"
救,"すく,すくう,きゅう"
執,"と,しつ,しゅう"
房,"ふさ,ぼう"
撤,てつ
削,"けず,はつ,そ,さく"
密,"ひそ,みつ"
措,"お,そ"
志,"こころざす,し,こころざ,こころざし,しりんぐ"
載,"の,さい"
陣,じん
我,"われ,わ,わが,が"
為,"い,な,す,たり,ため,つく,なり"
抑,"おさえる,おさ,よく"
幕,"とばり,まく,ばく"
染,"じ,ぞめ,し,ぞ,そめる,そ,しみ,そまる,せん,しみる"
奈,"な,だい,ない,いかん,からなし"
傷,"いた,いためる,いたむ,しょう,きず"
択,"えら,たく"
秀,"ひい,しゅう"
徴,"しるし,ちょう,ち"
弾,"だん,はずむ,ひき,はじ,ただ,ひ,はず,たん,ひく,たま"
償,"つぐな,しょう"
功,"いさお,こう,く"
拠,"よ,きょ,こ"
秘,"ひ,ひめる,ひそ,かく"
拒,"こば,きょ,ご"
刑,けい
塚,"つか,づか,ちょう"
致,"いた,ち"
繰,"く,そう"
尾,"お,び"
描,"えが,えがく,か,びょう"
鈴,"すず,れい,りん"
盤,ばん
項,"うなじ,こう"
喪,"も,そう"
伴,"ともな,はん,ばん"
養,"やしな,やしなう,よう,りょう"
懸,"か,けん,け"
街,"まち,がい,かい"
契,"ちぎ,けい"
掲,"かか,けい"
躍,"おど,やく"
棄,"す,き"
邸,"やしき,てい"
縮,"しゅく,ちぢ,ちぢまる,ちぢれる,ちぢむ,ちぢらす,ちぢめる"
還,"かえ,かん"
属,"しょく,やから,さかん,つく,ぞく"
慮,"おもんぱく,おもんぱか,りょ"
枠,わく
恵,"めぐ,けい,え"
露,"つゆ,ろ,ろう"
沖,"おき,おきつ,ちゅう,わく"
緩,"ゆる,かん"
節,"せつ,ふし,のっと,せち,ぶし"
需,じゅ
射,"い,いる,う,さ,しゃ,さす"
購,こう
揮,"ふる,き"
充,"あ,あてる,み,じゅう"
貢,"みつ,こう,く"
鹿,"しか,か,ろく"
却,"かえ,しりぞ,きゃく"
端,"はな,はた,はし,は,たん,ばた"
賃,ちん
獲,"え,かく"
郡,"こおり,ぐん"
併,"あわ,へい"
徹,てつ
貴,"とうとい,き,とうと,たっとい,たっと"
衝,"つ,しょう"
焦,"こ,こげる,あせり,あせ,あせる,こがれる,こがす,しょう"
奪,"うば,だつ"
災,"わざわ,わざわい,さい"
浦,"うら,ほ"
析,せき
譲,"ゆず,じょう"
称,"とな,ほめ,かな,あ,しょう,たた,はか"
納,"おさめる,な,とう,おさまる,のう,なん,なッ,おさ,なつ,おさめる"
樹,"き,じゅ"
挑,"いど,ちょう"
誘,"さそ,いざな,ゆう,いう"
紛,"まぎ,ふん"
至,"いた,いたる,し"
宗,"むね,しゅう,そう"
促,"うなが,そく"
慎,"つつし,しん"
控,"ひか,ひかえる,ひかえ,こう"
智,ち
握,"にぎ,あく"
宙,ちゅう
俊,しゅん
銭,"ぜに,すき,せん,ぜん"
渋,"しぶ,じゅう,しゅう"
銃,"つつ,じゅう"
操,"あやつ,そう,みさお,あやつる,さん"
携,"たずさ,けい"
診,"み,しん"
託,"かこつ,かこ,たく"
撮,"と,つま,ど,さつ"
誕,たん
侵,"おか,しん"
括,"くく,かつ"
謝,"あやまる,あやま,しゃ"
駆,"か,く"
透,"す,とう"
津,"つ,しん"
壁,"かべ,へき"
稲,"いね,いな,とう,て"
仮,"かり,かりに,か,け"
裂,"さ,ぎ,れつ"
敏,"さとい,びん"
是,"し,これ,ここ,この,ぜ"
排,はい
裕,ゆう
堅,"かたい,けん,がた,かた,かたさ"
訳,"わけ,やく"
芝,"しば,し"
綱,"つな,こう"
典,"てん,でん"
賀,が
扱,"あつか,こ,そう,きゅう"
顧,"かえり,こ"
弘,"ひろ,こう,ぐ"
看,"み,かん"
訟,しょう
戒,"いまし,かい"
祉,し
誉,"ほま,ほ,よ"
歓,"よろこ,かん"
奏,"かな,かなでる,そう"
勧,"すす,すすめる,かん,けん"
騒,"さわぎ,そう,さわがす,さわ,うれい,さわぐ,さわがしい"
閥,ばつ
甲,"きのえ,こう,かん,か"
縄,"なわ,ただ,じょう"
郷,"さと,きょう,ごう"
揺,"ゆ,うご,よう"
免,"まぬか,まぬかれる,まぬが,めん"
既,"すで,き"
薦,"すす,せん"
隣,"とな,となり,りん"
華,"はな,はなやかな,か,け"
範,はん
隠,"かか,かく,いん,よ,おん"
徳,とく
哲,"し,あき,てつ,さとい,さば"
杉,"すぎ,さん"
釈,"ゆる,せき,す,とく,しゃく"
己,"こ,な,き,つちのと,おのれ"
妥,だ
威,"おど,い"
豪,"えら,ごう"
熊,"くま,ゆう"
滞,"とどこお,たい,てい"
微,"かす,び"
隆,りゅう
症,しょう
暫,"しばら,ざん"
忠,ちゅう
倉,"くら,そう"
彦,"ひこ,げん"
肝,"きも,かん"
喚,"わめ,かん"
沿,"そ,そう,ぞ,えん"
妙,"たえ,みょう,びょう"
唱,"とな,となえる,しょう"
阿,"おもね,くま,あ,お"
索,さく
誠,"まこと,せい"
襲,"おそ,かさ,しゅう"
懇,"ねんご,こん"
俳,はい
柄,"がら,え,つか,へい"
驚,"おどろ,おどろく,おどろかす,きょう"
麻,"あさ,ま,まあ"
李,"すもも,り"
浩,"おおき,ひろ,こう"
剤,"ざい,せい,かる,けず,すい"
瀬,"せ,らい"
趣,"おもむき,おもむ,しゅ"
陥,"おちい,おとしい,かん"
斎,"い,いわ,さい,つつし,ものいみ,いつ,とき"
貫,"つらぬ,ぬ,ぬき,かん"
仙,"せん,せんと"
慰,"なぐさ,い"
序,"つい,ついで,じょ"
旬,"じゅん,しゅん"
兼,"か,けん"
聖,"ひじり,せい,しょう"
旨,"むね,うま,し"
即,"すなわ,すなわち,つ,そく"
柳,"やなぎ,りゅう"
舎,"やど,しゃ,せき"
偽,"いつわ,にせ,ぎ,か"
較,"くら,かく,こう"
覇,"はたがしら,は,はく"
詳,"くわ,くわしい,つまび,しょう"
抵,てい
脅,"おびや,おど,きょう"
茂,"しげ,も"
犠,"いけにえ,ぎ,き"
旗,"はた,き"
距,"へだ,けづめ,きょ"
雅,"みや,が"
飾,"かざ,しょく"
網,"あみ,もう"
竜,"ろう,りょう,いせ,たつ,りゅう"
詩,"うた,し"
繁,"しげ,はん"
翼,"つばさ,よく"
潟,"かた,がた,せき"
敵,"かたき,あだ,かな,てき"
魅,み
嫌,"げん,けん,きら,きらい,いや,いやがる,きらう"
斉,"はやい,さい,せい,そろ,ひと,あたる"
敷,"し,ふ"
擁,よう
圏,"かこ,けん"
酸,"す,すい,さん"
罰,"ばっ,ばつ,ばち,はつ"
滅,"ほろ,めつ"
礎,"いしずえ,そ"
腐,"くさ,ふ"
脚,"あし,きゃく,きゃ,かく"
潮,"しお,うしお,ちょう"
梅,"うめ,ばい"
尽,"ことごと,つ,じん,つき,ず,づ,つか,さん,さかづき"
僕,"しもべ,ぼく"
桜,"さくら,おう,よう"
滑,"すべ,なめ,かつ,こつ"
孤,こ
炎,"ほのお,えん"
賠,ばい
句,く
鋼,"はがね,こう"
頑,"かたく,がん"
鎖,"くさり,とざ,さ"
彩,"いろど,さい"
摩,"ま,さ,す"
励,"はげ,れい"
縦,"たて,じゅう"
輝,"かがや,き"
蓄,"たくわ,ちく"
軸,じく
巡,"めぐ,じゅん"
稼,"かせ,か"
瞬,"またた,まじろ,しゅん"
砲,ほう
噴,"ふ,ふん"
誇,"ほこ,ほこる,ほこり,こ"
祥,"つまび,さいわ,しょう,よ,きざ"
牲,せい
秩,ちつ
帝,"みかど,てい"
宏,"ひろ,こう"
唆,"そそ,そそのか,さ"
阻,"はば,そ"
泰,たい
賄,"まかな,わい"
撲,ぼく
堀,"ほり,くつ"
菊,きく
絞,"しぼ,し,こう"
縁,"ふちど,よすが,ゆかり,ねん,へり,えん,ふち,えにし"
唯,"ただ,ゆい,い"
膨,"ふく,ぼう"
矢,"や,し"
耐,"た,たい"
塾,じゅく
漏,"も,ろう"
慶,"よろこ,けい"
猛,もう
芳,"かんば,ほう"
懲,"こ,ちょう"
剣,"つるぎ,けん"
彰,しょう
棋,"ご,き"
丁,"ちょう,とう,ち,てい,ちん,ひのと"
恒,"つね,つねに,こう"
揚,"あ,よう"
冒,"おか,おかす,ぼう"
之,"の,し,これ,ゆく,この,おいて"
倫,りん
陳,"ひ,ちん"
憶,おく
潜,"もぐ,ひそ,かく,せん,くぐ"
梨,"なし,り"
仁,"じん,にん,に"
克,"か,こく"
岳,"たけ,がく"
概,"おおむ,がい"
拘,"かか,こう"
墓,"はか,ぼ"
黙,"だま,もだ,もく,ぼく"
須,"もと,もち,すべし,まつ,す,すべから,しゅ,ひげ"
偏,"かたよ,かたよる,かたより,へん"
雰,ふん
遇,"あ,ぐう"
諮,"はか,し"
狭,"せばまる,せま,せまい,せばめる,さ,せば,こう,きょう"
卓,たく
亀,"かめ,き,きゅう,きん"
糧,"かて,りょう,ろう"
簿,ぼ
炉,"いろり,ろ"
牧,"まき,ぼく"
殊,"こと,しゅ"
殖,"ふ,しょく"
艦,かん
輩,"やから,ともがら,やかい,はい,ばら"
穴,"あな,けつ"
奇,"あや,き,くし,めずら,く"
慢,まん
鶴,"つる,かく"
謀,"たばか,はかりごと,ぼう,む,はか"
暖,"あたた,だん,あたたかい,のん,あたたまる,あたためる"
昌,"さかん,しょう"
拍,"はく,ひょう"
朗,"ほが,ほがらかな,あき,ろう"
寛,"くつろ,ひろ,ゆる,かん"
覆,"おお,くつがえ,ふく"
胞,ほう
泣,"な,なく,きゅう"
隔,"へだ,かく"
浄,"きよ,じょう,せい"
没,"おぼ,ぼつ,ない,もつ,しず"
暇,"ひま,いとま,か"
肺,はい
貞,"さだ,てい"
靖,"やす,せい,じょう"
鑑,"かんが,かがみ,かん"
飼,"か,かう,し"
陰,"かげ,いん"
銘,めい
随,"まにま,したが,ずい"
烈,"はげ,れつ"
尋,"たず,ひろ,じん"
稿,"わら,したがき,こう"
丹,"に,たん"
啓,"ひら,さと,けい"
也,"また,え,か,や,なり"
丘,"おか,きゅう"
棟,"むね,むな,とう"
壌,"つち,じょう"
漫,"みだり,そぞ,まん"
玄,げん
粘,"ねば,ねん"
悟,"さと,さとる,さとり,ご"
舗,ほ
妊,"はら,みごも,にん,じん"
熟,"う,うれる,じゅく"
旭,"あさひ,きょく"
恩,おん
騰,"あが,のぼ,とう"
往,"い,いにしえ,ゆ,さき,おう"
豆,"まめ,とう,ず"
遂,"と,つい,すい"
狂,"くる,くるおしい,くるう,くるお,くるわす,くるわせる,きょう"
岐,"き,ぎ"
陛,へい
緯,"よこいと,ぬき,い"
培,"つちか,ばい"
衰,"おとろ,すい"
艇,てい
屈,"かが,くつ"
径,"ただちに,みち,さしわたし,こみち,けい"
淡,"あわ,たん"
抽,"ひき,ちゅう"
披,ひ
廷,てい
錦,"にしき,きん"
准,じゅん
暑,"あつ,あつい,あつさ,しょ"
磯,"いそ,き"
奨,"すす,しょう,そう"
浸,"ひた,しん"
剰,"あまつさえ,あま,じょう"
胆,"きも,たん"
繊,せん
駒,"こま,く"
虚,"むな,うつ,きょ,こ"
霊,"たま,れい,りょう"
帳,"とばり,ちょう"
悔,"く,くや,かい"
諭,"さと,ゆ"
惨,"むご,いた,ざん,さん,みじ"
虐,"しいた,ぎゃく"
翻,"ひるがえ,ほん,はん"
墜,"お,つい"
沼,"ぬま,しょう"
据,"す,きょ"
肥,"こ,ふと,こえ,こやし,こえる,ひ,こやす"
徐,"おもむ,じょ"
糖,とう
搭,とう
盾,"たて,じゅん"
脈,"すじ,みゃく"
滝,"たき,ろう,そう"
軌,き
俵,"たわら,ひょう"
妨,"さまた,ぼう"
擦,"す,ず,こす,さつ"
鯨,"くじら,げい"
荘,"ほうき,そう,おごそ,ちゃん,しょう"
諾,だく
雷,"かみなり,いかずち,いかづち,らい"
漂,"ただよ,ひょう"
懐,"いだ,ふところ,かい,なず,なつ,え,おも"
勘,かん
栽,さい
拐,かい
駄,"だ,た"
添,"そ,も,てん"
冠,"かんむり,かん"
斜,"なな,はす,しゃ"
鏡,"かがみ,きょう,けい"
聡,"さと,みみざと,そう"
浪,ろう
亜,"つ,あ"
覧,"み,らん"
詐,"いつわ,さ"
壇,"だん,たん"
勲,"いさお,くん"
魔,ま
酬,"むく,しゅう,しゅ,とう"
紫,"むらさき,し"
曙,"あけぼの,しょ"
紋,もん
卸,"おろ,おろし,しゃ"
奮,"ふる,ふるう,ふん"
欄,"てすり,らん"
逸,"そ,はぐ,いつ"
涯,"はて,がい"
拓,"ひら,たく"
眼,"まなこ,め,がん,げん"
獄,ごく
尚,"なお,しょう"
彫,"ほ,ぼ,ちょう"
穏,"おだ,おん"
顕,"あきらか,あらわ,けん"
巧,"たく,うま,こう"
矛,"ほこ,む,ぼう"
垣,"かき,えん"
欺,"あざむ,ぎ"
釣,"つ,ちょう"
萩,"はぎ,しゅう"
粛,"つつし,しゅく,すく"
栗,"くり,おののく,りつ,り"
愚,"おろ,ぐ"
嘉,"よみ,よい,か"
遭,"あ,そう"
架,か
鬼,"おに,き"
庶,しょ
稚,"じ,おでる,ち,いとけない,おくて,おさない"
滋,じ
幻,"まぼろし,げん"
煮,"に,しゃ"
姫,"ひめ,き"
誓,"ちか,せい"
把,"は,わ"
践,"ふ,せん"
呈,てい
疎,"うと,まば,そ,しょ"
仰,"お,おっしゃ,おお,ぎょう,あお,こう"
剛,ごう
疾,"はや,しつ"
征,せい
砕,"くだ,さい"
謡,"うた,よう"
嫁,"い,ゆ,よめ,とつ,か"
謙,けん
后,"きさき,こう,ご"
嘆,"なげ,たん"
菌,きん
鎌,"かま,れん,けん"
巣,"す,そう"
頻,"しき,ひん"
琴,"こと,きん"
班,はん
棚,"たな,だな,ほう"
潔,"いさぎよ,いさぎよい,けつ"
酷,"ひど,こく"
宰,さい
廊,ろう
寂,"さび,さみ,じゃく,せき"
辰,"たつ,しん,じん"
霞,"かすみ,かす,か,げ"
伏,"ふ,ふせる,ふす,ふく"
碁,ご
俗,ぞく
漠,ばく
邪,"よこし,じゃ"
晶,しょう
墨,"すみ,ぼく"
鎮,"しず,おさえ,ちん"
洞,"ほら,どう"
履,"は,り"
劣,"おと,れつ"
那,"な,なに,なんぞ,いかん,だ"
殴,"なぐ,おう"
娠,しん
奉,"たてまつ,まつ,ほう,ぶ"
憂,"うれ,う,ゆう"
朴,"ほう,ほお,えのき,ぼく"
亭,"てい,ちん"
淳,"あつ,じゅん,しゅん"
怪,"あや,あやしい,あやしむ,かい,け"
鳩,"はと,あつ,きゅう,く"
酔,"よ,すい"
惜,"お,せき"
穫,かく
佳,か
潤,"うるお,うる,じゅん"
悼,"いた,とう"
乏,"とぼしい,とぼ,とぼしさ,ぼう,とも"
該,がい
赴,"おもむ,ふ"
桑,"くわ,そう"
桂,"かつら,けい"
髄,ずい
虎,"とら,こ"
盆,ぼん
